E#1 / keV,N#1,E#10 / keV,N#10
100.7,0,100.7,0
101,0,101,0
101.2,0,101.2,0
101.4,0,101.4,0
101.7,0,101.7,0
101.9,0,101.9,0
102.1,0,102.1,0
102.4,0,102.4,0
102.6,0,102.6,0
102.8,0,102.8,0
103,0,103,0
103.3,0,103.3,0
103.5,0,103.5,0
103.7,0,103.7,0
104,0,104,0
104.2,0,104.2,0
104.4,0,104.4,0
104.7,0,104.7,0
104.9,0,104.9,0
105.1,0,105.1,0
105.3,0,105.3,0
105.6,0,105.6,0
105.8,0,105.8,0
106,0,106,0
106.3,0,106.3,0
106.5,0,106.5,0
106.7,0,106.7,0
107,0,107,0
107.2,0,107.2,0
107.4,0,107.4,0
107.7,0,107.7,0
107.9,0,107.9,0
108.1,0,108.1,0
108.3,0,108.3,0
108.6,0,108.6,0
108.8,0,108.8,0
109,0,109,0
109.3,0,109.3,0
109.5,0,109.5,0
109.7,0,109.7,0
110,0,110,0
110.2,0,110.2,0
110.4,0,110.4,0
110.6,0,110.6,0
110.9,0,110.9,0
111.1,0,111.1,0
111.3,0,111.3,0
111.6,0,111.6,0
111.8,0,111.8,0
112,0,112,0
112.3,0,112.3,0
112.5,0,112.5,0
112.7,0,112.7,0
112.9,0,112.9,0
113.2,0,113.2,0
113.4,0,113.4,0
113.6,0,113.6,0
113.9,0,113.9,0
114.1,0,114.1,0
114.3,0,114.3,0
114.6,0,114.6,0
114.8,0,114.8,0
115,0,115,0
115.2,0,115.2,0
115.5,0,115.5,0
115.7,0,115.7,0
115.9,0,115.9,0
116.2,0,116.2,0
116.4,0,116.4,0
116.6,0,116.6,0
116.9,0,116.9,0
117.1,0,117.1,0
117.3,0,117.3,0
117.5,0,117.5,0
